possibly_sensitive,text,source,id,created_at,lang,reply_settings,author_id,edit_history_tweet_ids,hashtags_list,urls_list,public_metrics_retweet_count,public_metrics_reply_count,public_metrics_like_count,public_metrics_quote_count,next_token
False,RT @thatawanbybacon: ไอพวกตัวร้ายมันหล่อทุกคนเลยว่ะ https://t.co/YCPyyBNFTb,Twitter for Android,1575892800172085248,2022-09-30T16:58:16.000Z,th,following,969598808186212353,['1575892800172085248'],[],"['https://twitter.com/thatawanbybacon/status/1575757911959011328/photo/1', 'https://twitter.com/thatawanbybacon/status/1575757911959011328/photo/1', 'https://twitter.com/thatawanbybacon/status/1575757911959011328/photo/1', 'https://twitter.com/thatawanbybacon/status/1575757911959011328/photo/1']",16970,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @gun_nu6: อาจารย์สอนการแสดงที่มหาลัยเราโพสต์ไว้ สรุปสั้น ๆ ได้ใจความ https://t.co/LIxlq7ylxG,Twitter for Android,1575892703921188864,2022-09-30T16:57:53.000Z,th,everyone,969598808186212353,['1575892703921188864'],[],['https://twitter.com/gun_nu6/status/1575424372348624896/photo/1'],3638,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @isthatyoubabyy: ศาลคิดจะล้มเจ้าเหรอคะ ประกาศพระบรมราชโองการของร.9 มีมาตั้งแต่ 2557 จะมานับ 2560 ได้ยังไงเอ่ย #ประยุทธ์ออกไป https://t.c…,Twitter for Android,1575892493471977472,2022-09-30T16:57:03.000Z,th,everyone,969598808186212353,['1575892493471977472'],['ประยุทธ์ออกไป'],[],22967,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @CHOIPINKKK: วันนี้มันต้องทีเซอร์เอ็มวี hello แล้วมั้ย มึงเป็นเหี้ยไรนักหนาอิวายจี โปรโมทได้ทุเรศชิบหาย,Twitter for Android,1575892482059284480,2022-09-30T16:57:01.000Z,th,everyone,969598808186212353,['1575892482059284480'],[],[],574,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @sfkkfs_: รีวิวเดือนกันยา = สาหัสมาก,Twitter for Android,1575892470046416899,2022-09-30T16:56:58.000Z,th,everyone,969598808186212353,['1575892470046416899'],[],[],9466,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @faiiaf_W_P: Fuck🖕🏻 #นายก8ปี https://t.co/4BNX8QnJkr,Twitter for Android,1575892322906435585,2022-09-30T16:56:23.000Z,en,everyone,969598808186212353,['1575892322906435585'],['นายก8ปี'],['https://twitter.com/faiiaf_W_P/status/1575771775836688384/photo/1'],4963,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,"RT @Horo4you: คนเกิดวัน จันทร์ และ ศุกร์ 🌟
(รี+พิมพ์ 1 เพื่อให้สมหวัง)

ช่วงนี้ถ้ามีการทำสัญญาหรืออะไรก็ตามที่เป็นในเชิงข้อตกลงกับใคร มันมี…",Twitter for Android,1575892208372240384,2022-09-30T16:55:55.000Z,th,everyone,969598808186212353,['1575892208372240384'],[],[],9227,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @jusdelemon: พูดไม่ฟังพี่ไปจริงนะคะ                 อือ https://t.co/n1IWUzp7rF,Twitter for Android,1575892192048336896,2022-09-30T16:55:51.000Z,th,everyone,969598808186212353,['1575892192048336896'],[],"['https://twitter.com/jusdelemon/status/1575515092916924417/photo/1', 'https://twitter.com/jusdelemon/status/1575515092916924417/photo/1']",562,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @yayee2548: คงจะมีแต่ชบา ไม่เคยวุ่นวายเลย นั่งดูชั้นกินข้าวเหมือนดูม้อกบัง https://t.co/kqpawvCFEk,Twitter for Android,1575892171684601864,2022-09-30T16:55:47.000Z,th,everyone,969598808186212353,['1575892171684601864'],[],"['https://twitter.com/yayee2548/status/1575872390122217472/photo/1', 'https://twitter.com/yayee2548/status/1575872390122217472/photo/1']",9059,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @yhirens: ชอบผัวชาวบ้าน,Twitter for Android,1575892111408640005,2022-09-30T16:55:32.000Z,th,everyone,969598808186212353,['1575892111408640005'],[],[],25766,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,"RT @cnew888: ปฏิรูป = ล้มล้าง
เงินกู้ = รายรับ
ดังนั้น 8 ปี ประยุทธ์จะรอด-ไม่รอด",Twitter for Android,1575892016075923469,2022-09-30T16:55:09.000Z,th,everyone,969598808186212353,['1575892016075923469'],[],[],5640,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @jjhacop: นี่ค่ะสาเหตุการพัง ของเดิมมีอยู่แล้ว แต่ไปก่ออิฐทับของเดิม ไม่หนำซ้ำ ทาสีทองทับ ก็พินาศสิคะ ไม่กันน้ำเข้าแต่กันน้ำออก ข้างในแท…,Twitter for Android,1575891980101775360,2022-09-30T16:55:01.000Z,th,everyone,969598808186212353,['1575891980101775360'],[],[],7297,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @reno____o: หมูสไลด์โรยต้นหอม https://t.co/PCM2IgXxuB,Twitter for Android,1575891681689628672,2022-09-30T16:53:50.000Z,th,everyone,969598808186212353,['1575891681689628672'],[],['https://twitter.com/reno____o/status/1575401267689848832/photo/1'],62901,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @boyzeedmaker: ทีตอนนั้นทักษิณทำ มึงบอกผิดกฎหมาย ... สุดท้าย ก๊อปเค้าทุกอย่าง 555 https://t.co/p5f9sn5rLX,Twitter for Android,1575891553478152194,2022-09-30T16:53:19.000Z,th,everyone,969598808186212353,['1575891553478152194'],[],['https://twitter.com/boyzeedmaker/status/1575783155100880896/photo/1'],34460,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @PanKatze: ชายแท้ว้อแตกเพราะโดนเฟมล้อว่าเปนชายแท้ กุหัวบ่คืนจิงนะมึง ยุคพระศรีอารีย์อาจมีจริงก็ได้ อะไรที่ไม่เคยได้เห็นก็จะได้เห็น 55555…,Twitter for Android,1575891429158977536,2022-09-30T16:52:50.000Z,th,following,969598808186212353,['1575891429158977536'],[],[],8739,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @_callmesamuel_: อะพอลโลเป็นคนสร้างกำแพงเมืองทรอย มีประวัติเกี่ยวข้องกับเมืองนี้มาตั้งแต่รุ่นปู่ของเฮคเตอร์ เรื่องราวของอะพอลโลผูกเกี่ยว…,Twitter for Android,1575891405159157768,2022-09-30T16:52:44.000Z,th,everyone,969598808186212353,['1575891405159157768'],[],[],41,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @daydreamerr98: เคยมีเคสตปท. ประท้วงกันงี้แหละ บอกให้คลอดออกมาแล้วเอาไปให้คนอื่นรับเลี้ยง โดนถามกลับคุณรับเด็กมาเลี้ยงกี่คนหรอ คนที่ประ…,Twitter for Android,1575891378021990401,2022-09-30T16:52:37.000Z,th,mentionedUsers,969598808186212353,['1575891378021990401'],[],[],14046,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @tmmmmmhi: เราด่าพ่อเราก่อนด่าผู้ชายคนอื่นอีกค่ะ 😭😭😭😭😭😭,Twitter for Android,1575891325920350208,2022-09-30T16:52:25.000Z,th,everyone,969598808186212353,['1575891325920350208'],[],[],8590,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @hoonpuppycho: ที่ไม่อยากเรียนหมอเพราะวันๆเจอแต่คนไข้ กลัวไม่ได้เจอคนที่ใช่สักที,Twitter for Android,1575891250968133632,2022-09-30T16:52:07.000Z,th,mentionedUsers,969598808186212353,['1575891250968133632'],[],[],9394,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @belloicwwieq: พี่กรพ้อกสี = สเปคผู้หญิงทั้งประเทศ,Twitter for Android,1575891214247026688,2022-09-30T16:51:58.000Z,th,everyone,969598808186212353,['1575891214247026688'],[],[],12302,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @0_MEOW_0: รีบเย็ดฉันเถอะค่ะก่อนฉันจะตายในประเทศที่มีการปกครองแปลกๆแบบนี้ คัมฟักมี,Twitter for Android,1575891193493614593,2022-09-30T16:51:53.000Z,th,everyone,969598808186212353,['1575891193493614593'],[],[],47673,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @_tournesolm: วิจัย อ่านเปเป้อ อ้วก,Twitter for Android,1575890936680570883,2022-09-30T16:50:52.000Z,th,everyone,969598808186212353,['1575890936680570883'],[],[],11845,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @burgerx3x: ระหว่างน้ำละพันห้า กะ unlimited 250 อันหลังคุ้มกว่าอยู่แล้ว https://t.co/KMuZnADiFp,Twitter for Android,1575890922851954689,2022-09-30T16:50:49.000Z,th,following,969598808186212353,['1575890922851954689'],[],['https://twitter.com/burgerx3x/status/1575469602943176704/photo/1'],52296,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @mylittlecb_vk: รู้แหละว่าต้องมีกลุ่มมาดีเฟ้นให้โฮริแน่ๆ แต่ก็ไม่คิดว่าบางคนมันจะเป็นบัวใต้โคลนตมได้ขนาดนี้ 555555 ตัวละครเป็นผู้เยาว์…,Twitter for Android,1575890689094979584,2022-09-30T16:49:53.000Z,th,everyone,969598808186212353,['1575890689094979584'],[],[],48,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @NOONA5Goodboys: ลายสักนานะคือสวยทุกลายจริง ชอบมากกก ดาวตรงไหล่ก็สวย ชอบที่สุดคือช่วงขากับเท้ามีกิมมิคเยอะมากกก https://t.co/rxucbzaDAe,Twitter for Android,1575890659398909953,2022-09-30T16:49:46.000Z,th,everyone,969598808186212353,['1575890659398909953'],[],"['https://twitter.com/NOONA5Goodboys/status/1574734427242270720/photo/1', 'https://twitter.com/NOONA5Goodboys/status/1574734427242270720/photo/1', 'https://twitter.com/NOONA5Goodboys/status/1574734427242270720/photo/1', 'https://twitter.com/NOONA5Goodboys/status/1574734427242270720/photo/1']",15467,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @Zuq5dCe9nkgyfbI: แล้วมันจะน่ารำคาญสุดเวลาอยู่ในการ์ตูนที่เนื้อหามันจริงจังแบบไม่น่ามีฉากพวกนี้ได้ก็จะยัดเข้ามาอะ ถ้ามันเป็นแนวเน้นขายเซ…,Twitter for Android,1575890599898939392,2022-09-30T16:49:32.000Z,th,everyone,969598808186212353,['1575890599898939392'],[],[],877,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,"RT @sleepy_ashi: ผญน่ารักเดินผ่านหน้าคณะ 
หนุ่มวิศวะ : เว่อ เว่อ เว่อ เว่อ",Twitter for Android,1575890538363879430,2022-09-30T16:49:17.000Z,th,everyone,969598808186212353,['1575890538363879430'],[],[],13146,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @piiepo: รัฐธรรมนูญฉบับลื่นไหลขึ้นอยู่กับว่าใช้กับใครและใครได้ผลประโยชน์ 😑,Twitter for Android,1575890521025024001,2022-09-30T16:49:13.000Z,th,everyone,969598808186212353,['1575890521025024001'],[],[],1939,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @Nutturgh: ประยุทธ์ไปสักทีเถอะแม้แต่สลิ่มก็สมองพังแยกรูปจริงกับกราฟฟิคไม่ออกแล้ว,Twitter for Android,1575890464271921153,2022-09-30T16:48:59.000Z,th,everyone,969598808186212353,['1575890464271921153'],[],[],20310,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @noreyore: อยู่มา 8 ปี หาดีสุดได้แค่ประยุทธ์เป็นกูกูอาย ดูสิ่งที่มันทำออกสื่อแต่ละวัน,Twitter for Android,1575890442993795085,2022-09-30T16:48:54.000Z,th,everyone,969598808186212353,['1575890442993795085'],[],[],3738,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @12HNTP02: ใครที่บอกกินเหล้าเอาสังคม มาบอกวิธีออกจากสังคมด้วยนะ กูหยุดกินเหล้าไม่ได้เลย,Twitter for Android,1575890421414101005,2022-09-30T16:48:49.000Z,th,everyone,969598808186212353,['1575890421414101005'],[],[],42243,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,"RT @jaomaecaption: ผู้ชายที่ยอมหยุดเล่นเกมเพื่อมาตอบแชท 
คือผู้ชายที่ตายอยู่ รอคูลดาวน์เกิดใหม่",Twitter for Android,1575890397137469446,2022-09-30T16:48:43.000Z,th,everyone,969598808186212353,['1575890397137469446'],[],[],43759,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @madakolife: อันนี้เรียกว่าการตรวจ pronator drift นะคะ ทำตามนี้เลย เป็นเทสที่เราอวยยศมากเพราะสามารถดูการอ่อนแรงของกล้ามเนื้อส่วนบนของร่า…,Twitter for Android,1575890349423484928,2022-09-30T16:48:32.000Z,th,everyone,969598808186212353,['1575890349423484928'],[],[],60352,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @dmeishappy_: เจอมาในเฟส กูนั่งสตั้นไปอยู่นานมาก ตอนแรกคิดว่าอะไรวะ ตลาดเปียก? ตลาดน้ำ? อ่อ ตลาดเทเวศร์ อิเหี้ย5555555555555555555555555…,Twitter for Android,1575890317110562816,2022-09-30T16:48:24.000Z,th,mentionedUsers,969598808186212353,['1575890317110562816'],[],[],43969,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @0702xwr: ทฤษฎีที่ว่า บุคลิกคนพูดจะเปลี่ยนตามภาษาที่ใช้ ก็คือ ไม่เกินจริง ตัวอย่างโดยพี่ลูก 55555555555555,Twitter for Android,1575890268183998464,2022-09-30T16:48:13.000Z,th,everyone,969598808186212353,['1575890268183998464'],[],[],24054,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @nongpawhere: อย่าสงสารคนตายเลยแฮร์รี่ สงสารคนไทยที่ได้อิตู่อยู่ต่อเถอะ,Twitter for Android,1575890249292877824,2022-09-30T16:48:08.000Z,th,everyone,969598808186212353,['1575890249292877824'],[],[],99961,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @JnKimnoeymi: ข้อสอบมหาลัยแม่งยากว่ะ เครียด https://t.co/3mK5zPmgSy,Twitter for Android,1575890202845143041,2022-09-30T16:47:57.000Z,th,everyone,969598808186212353,['1575890202845143041'],[],"['https://twitter.com/JnKimnoeymi/status/1575533381705957376/photo/1', 'https://twitter.com/JnKimnoeymi/status/1575533381705957376/photo/1']",37317,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @jungwooyy: อห พี่จองอูพูดเรื่องแต่งงานมีลูกแล้วอะ ใจผม🥹 อยากติ่งเขาจนถึงวันนั้นจัง วันที่เขาได้เจอกับคนที่รักแล้วก็มีเบบี๋ตัวน้อยๆ ต้อง…,Twitter for Android,1575890093738295302,2022-09-30T16:47:31.000Z,th,everyone,969598808186212353,['1575890093738295302'],[],[],8096,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,"RT @Erislynx: รวมศัพท์ ชาย (ผ้าเหลือง)

นิมนต์      = เลิ่มเลอ
มรณภาพ = สู่ขิต
บิณฑบาต = ไปตอแหลกันค๊า
ถวายภัตตาหาร =หนูกินยำมั้ยลูก
จำวัด…",Twitter for Android,1575890051397214210,2022-09-30T16:47:21.000Z,th,everyone,969598808186212353,['1575890051397214210'],[],[],36037,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @Bungkiihyogwa: ตัดปัญหาแฟนคลับวีนเรื่องไอดอลแต่งงาน ให้ไอดอลแต่งงานก่อนเดบิวต์เลย,Twitter for Android,1575889930567712769,2022-09-30T16:46:52.000Z,th,everyone,969598808186212353,['1575889930567712769'],[],[],40834,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @0702xwr: ชาตินี้ ถ้ามีสกิลแปลได้เทียบเท่าร.6 ก็คือ เกิดมาคุ้ม https://t.co/oGoBSYo8QM,Twitter for Android,1575889818822639618,2022-09-30T16:46:26.000Z,th,everyone,969598808186212353,['1575889818822639618'],[],['https://twitter.com/0702xwr/status/1575450062070480896/photo/1'],43318,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @nongdotoine: กุกำลังนึกสภาพนักภาษาศาสตร์ใน 500 ปีข้างหน้าที่กำลังศึกษา etymology ของคำเหล่านี้,Twitter for Android,1575889760534396928,2022-09-30T16:46:12.000Z,th,everyone,969598808186212353,['1575889760534396928'],[],[],7076,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @hahahuehueisus: Fire forceครับจารย์ เนื้อเรื่องดีแต่เซอร์วิสจนรำคาญตา ไม่มีเซอร์วิสไทยแลนด์พูดลาท่อมแทนสาธุไปละ,Twitter for Android,1575889731275345921,2022-09-30T16:46:05.000Z,th,everyone,969598808186212353,['1575889731275345921'],[],[],1532,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @letmevalentineu: 8ปี + 3 ปี = 11ปี คือนานมากแบบมองง่ายๆคือเข้าประถมแล้วออกตอนจบม.ปลายอะ อีเหี้ย เสียเวลาชีวิตสัดๆ,Twitter for Android,1575889696965525509,2022-09-30T16:45:57.000Z,th,following,969598808186212353,['1575889696965525509'],[],[],57759,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @AOMMG: อีชายแท้ที่ล้อผู้หญิงโดยใช้คำว่าหญิงแท้กลับ ขอยกให้เป็นคำล้อเลียนที่เบาบางที่สุดแห่งปี,Twitter for Android,1575889664300716032,2022-09-30T16:45:49.000Z,th,everyone,969598808186212353,['1575889664300716032'],[],[],34736,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @myketchup_: จะเอาเหตุผลว่าทำมาจากผมน้องเองก็ไม่น่าเกลียดนะ ถึงมันจะดูจำเจ หรือจะบอกว่าชุดพิเศษไปเลยไม่ต้องให้เหตุผลอะไรก็ยังได้ แต่มันเ…,Twitter for Android,1575889520914223104,2022-09-30T16:45:15.000Z,th,everyone,969598808186212353,['1575889520914223104'],[],[],338,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @myketchup_: มิริโอะที่เป็นตัวละครผู้ชาย อัตลักษณ์คือการทะลุผ่านยังมีชุดใส่ ซึ่งชุดทำมาจากเส้นผมของมิริโอะเองเลยทะลุไปพร้อมกันได้ เนี่ยแ…,Twitter for Android,1575889484092420096,2022-09-30T16:45:06.000Z,th,everyone,969598808186212353,['1575889484092420096'],[],[],3429,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @mimacbr: ฮะฮ้า ล้อว่าเวนติเป็นเทพที่ไม่ทรงงาน เกียจคร้าน เอาแต่เมาหยำเป แต่มอนด์แสตดต์กลับเป็นเมืองที่สุขสงบที่สุดในบรรดาเมืองที่เล่นมา…,Twitter for Android,1575889407491858433,2022-09-30T16:44:48.000Z,th,everyone,969598808186212353,['1575889407491858433'],[],[],3147,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,"RT @Aeeeeeess: อีตู่ไม่ยื่นบัญชีทรัพย์สิน
อีตู่ไม่ยื่นบัญชีทรัพย์สิน
อีตู่ไม่ยื่นบัญชีทรัพย์สิน
อีตู่ไม่ยื่นบัญชีทรัพย์สิน
อีตู่ไม่ยื่นบัญ…",Twitter for Android,1575887108635787264,2022-09-30T16:35:39.000Z,th,everyone,969598808186212353,['1575887108635787264'],[],[],45892,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @10andonly: ถ้าตัดรังไข่ เราจะกันผู้หญิงท้องได้คนเดียว ถ้าตัดจู๋ผู้ชาย เราจะกันผู้หญิงท้องได้หลายคนนะคะ,Twitter for Android,1575887097486942210,2022-09-30T16:35:37.000Z,th,everyone,969598808186212353,['1575887097486942210'],[],[],71388,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @cs_janiform: นมัสการสุดท้ายแด่สายผลิตงานสร้างสรรค์ ผู้แวดล้อมด้วยความไม่นำพาก็ยังสรรหาที่จะสร้างต่อไป ผู้ได้สร้างสิ่งซึ่งเป็นหรือช่วยต่…,Twitter for Android,1575887083478331394,2022-09-30T16:35:33.000Z,th,everyone,969598808186212353,['1575887083478331394'],[],[],2721,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @sirkm_: เพื่อนที่อายุเท่ากันบางคนคือสวยสะพรั่งสมเป็นสาวมาก ในขณะที่กูเหมือนเด็กม.ต้นอ่ะ🥹,Twitter for Android,1575887035201900544,2022-09-30T16:35:22.000Z,th,everyone,969598808186212353,['1575887035201900544'],[],[],54502,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,"RT @bebsays: แอบเกลียดคัลเจอร์ของวงการไอดอลไทย,เกาหลี ฯลฯ ที่ติ่งโซนเอเชียอย่างเราๆ ต้องดีใจมากเป็นพิเศษเวลาเมนไปมีงานฝั่งตะวันตก เหมือนต้อ…",Twitter for Android,1575887017002799104,2022-09-30T16:35:18.000Z,th,everyone,969598808186212353,['1575887017002799104'],[],[],25819,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @warmzbear: จริงมาก ลงทุนกับหุ่นหน้าตารูปร่าง ก็ย่อมได้โอกาสที่ดีในการเลือกคู่ครอง,Twitter for Android,1575886958823608322,2022-09-30T16:35:04.000Z,th,everyone,969598808186212353,['1575886958823608322'],[],[],18177,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
