possibly_sensitive,id,author_id,lang,reply_settings,edit_history_tweet_ids,text,source,created_at,hashtags_list,urls_list,public_metrics_retweet_count,public_metrics_reply_count,public_metrics_like_count,public_metrics_quote_count,pagination_token,current_time
False,1429923822736642054,1390395806746923009,zxx,everyone,['1429923822736642054'],https://t.co/2hDZWlKBrz,Twitter for Android,2021-08-23T21:49:40.000Z,[],['https://twitter.com/ELIASAS69933421/status/1429923822736642054/photo/1'],219,82,3124,8,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084359
False,1431055617607839746,1390395806746923009,zxx,everyone,['1431055617607839746'],https://t.co/qex4rh0bea,Twitter for Android,2021-08-27T00:47:01.000Z,[],['https://twitter.com/ELIASAS69933421/status/1431055617607839746/photo/1'],42,12,1298,1,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084367
False,1431055909753692160,1390395806746923009,zxx,everyone,['1431055909753692160'],https://t.co/c0izEGinAS,Twitter for Android,2021-08-27T00:48:11.000Z,[],['https://twitter.com/ELIASAS69933421/status/1431055909753692160/photo/1'],43,10,1210,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084376
False,1431056286389506048,1390395806746923009,zxx,everyone,['1431056286389506048'],https://t.co/yEClALMsYt,Twitter for Android,2021-08-27T00:49:41.000Z,[],['https://twitter.com/ELIASAS69933421/status/1431056286389506048/photo/1'],50,17,1384,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084384
False,1431056346502385664,1390395806746923009,zxx,everyone,['1431056346502385664'],https://t.co/sGfUe34Ssv,Twitter for Android,2021-08-27T00:49:55.000Z,[],['https://twitter.com/ELIASAS69933421/status/1431056346502385664/photo/1'],73,32,1949,3,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084393
False,1433550139977879557,1390395806746923009,zxx,everyone,['1433550139977879557'],https://t.co/7JQtZCBMck,Twitter for Android,2021-09-02T21:59:22.000Z,[],['https://twitter.com/ELIASAS69933421/status/1433550139977879557/photo/1'],123,76,3195,3,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084401
True,1435720490707034115,1390395806746923009,zxx,everyone,['1435720490707034115'],https://t.co/rBNakpK4GI,Twitter for Android,2021-09-08T21:43:34.000Z,[],['https://twitter.com/ELIASAS69933421/status/1435720490707034115/photo/1'],512,208,4921,8,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084410
True,1435720680977350656,1390395806746923009,zxx,everyone,['1435720680977350656'],https://t.co/Xwm6uXJIHH,Twitter for Android,2021-09-08T21:44:19.000Z,[],['https://twitter.com/ELIASAS69933421/status/1435720680977350656/photo/1'],434,242,4507,10,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084419
False,1435719831752433667,1390395806746923009,zxx,everyone,['1435719831752433667'],https://t.co/40JHh2bsO5,Twitter for Android,2021-09-08T21:40:56.000Z,[],['https://twitter.com/ELIASAS69933421/status/1435719831752433667/photo/1'],894,321,12753,29,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084427
True,1435952315895255045,969632431362985984,it,everyone,['1435952315895255045'],Rico vergo 🍆💪. https://t.co/q0RDtLsMFm,Twitter for Android,2021-09-09T13:04:45.000Z,[],['https://twitter.com/PacoMeloRico4/status/1435952315895255045/photo/1'],17,0,81,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084435
False,1435922388227481601,1216013366,th,everyone,['1435922388227481601'],นี้เลยคับ..ลุงพล ดอนเมือง อาชีพขับแท็กซี่ จะเหมาลุงไปใหนลุงไปใด้ทุกที่ หรือจะเช่าลุงใว้เป็นเพื่อนดื่ม เพื่อนกิน เช่าลุงมาควงเดินเล่น ซักผ้า หุงข้าวก็ใด้คับและเราก็ยังมีบรรดาลุงๆอีกหลายคนที่จะไปกับคุณ สนใจขอดูรูปเพิ่มเติมใด้ทางไอดี 0973359801 https://t.co/AaYcxzrQHY,Twitter for Android,2021-09-09T11:05:50.000Z,[],['https://twitter.com/ttt7639/status/1435922388227481601/photo/1'],62,24,447,1,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084443
True,1435593949264039939,978877525781868544,en,everyone,['1435593949264039939'],So hot sucking video 🔥🔥🔥 https://t.co/YzEvA1HRLD,Twitter for Android,2021-09-08T13:20:44.000Z,[],['https://twitter.com/Blackloverin143/status/1435593949264039939/video/1'],1868,66,5603,17,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084451
True,1435664934612783104,932865869755047942,th,everyone,['1435664934612783104'],"นอนกันยังจ๊ะ 
คุณพ่อมาบอกโปร9.9มีจีดโปรน้า ฝากติดตามด้วยนะคร๊าฟฟฟ
ลิงค์ด้านล่างนะครับ⬇️⬇️⬇️⬇️ https://t.co/WWIBF7x5pm",Twitter for Android,2021-09-08T18:02:48.000Z,[],['https://twitter.com/wee_pas/status/1435664934612783104/photo/1'],27,3,292,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084460
True,1434181228777771011,1220210106307993600,th,everyone,['1434181228777771011'],"ชายแท้ #รับงาน
รับงานสาวสอง หญิงแท้ อยู่​รามอินทรา สนใจทักมาจ้า https://t.co/eBkU5BpRx2",Twitter for Android,2021-09-04T15:47:05.000Z,['รับงาน'],"['https://twitter.com/zHCqZNDpE8cSv1w/status/1434181228777771011/photo/1', 'https://twitter.com/zHCqZNDpE8cSv1w/status/1434181228777771011/photo/1', 'https://twitter.com/zHCqZNDpE8cSv1w/status/1434181228777771011/photo/1', 'https://twitter.com/zHCqZNDpE8cSv1w/status/1434181228777771011/photo/1']",202,12,541,1,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084469
True,1434527457818808327,1220210106307993600,th,everyone,['1434527457818808327'],ว้าว เจ้าของสวนอินทผลัม​อ่างทอง https://t.co/R7ny7LdQZ3,Twitter for Android,2021-09-05T14:42:52.000Z,[],"['https://twitter.com/zHCqZNDpE8cSv1w/status/1434527457818808327/photo/1', 'https://twitter.com/zHCqZNDpE8cSv1w/status/1434527457818808327/photo/1', 'https://twitter.com/zHCqZNDpE8cSv1w/status/1434527457818808327/photo/1', 'https://twitter.com/zHCqZNDpE8cSv1w/status/1434527457818808327/photo/1']",1020,59,2378,4,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084478
True,1432917603987644417,1276913475684495361,zxx,everyone,['1432917603987644417'],https://t.co/CCaG6qBX1Y,Twitter for iPhone,2021-09-01T04:05:53.000Z,[],['https://twitter.com/MayLay96930867/status/1384545354931077124/video/1'],134,3,491,4,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084486
True,1434059962460876804,799393789387407360,en,everyone,['1434059962460876804'],Time for morning cardio. Burn off that pizza from last night https://t.co/WOfrXhKyLx,Twitter for Android,2021-09-04T07:45:13.000Z,[],"['https://twitter.com/massively_mode/status/1434059962460876804/photo/1', 'https://twitter.com/massively_mode/status/1434059962460876804/photo/1']",208,11,1696,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084495
False,1431910591858237441,1118349421073158144,zxx,everyone,['1431910591858237441'],https://t.co/W5fPxDont3,Twitter for Android,2021-08-29T09:24:23.000Z,[],['https://twitter.com/colt_star/status/1431910591858237441/photo/1'],16,3,209,1,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084503
False,1432536258966810624,1103883736548954113,th,everyone,['1432536258966810624'],มองหาเรื่องหรือหาผม https://t.co/AUc7y6rT7z,Twitter for iPhone,2021-08-31T02:50:34.000Z,[],['https://twitter.com/kimizenontwitt/status/1432536258966810624/photo/1'],144,15,1066,1,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084510
True,1431851574205157377,1269523931653783552,zxx,everyone,['1431851574205157377'],https://t.co/QEs7WXq31U,Twitter for iPhone,2021-08-29T05:29:52.000Z,[],['https://twitter.com/wu_meiniangX2/status/1431504156041179136/video/1'],15,0,21,1,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084519
True,1431476420941795329,810120876762886144,zxx,everyone,['1431476420941795329'],https://t.co/zE2htaVsv0,Twitter for iPhone,2021-08-28T04:39:08.000Z,[],['https://twitter.com/old_indo/status/1430879520425451525/video/1'],1161,15,3426,9,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084527
True,1429357017542451203,1199572553208975360,zxx,everyone,['1429357017542451203'],https://t.co/JSSAfO5Su3,Twitter for Android,2021-08-22T08:17:23.000Z,[],"['https://twitter.com/TWMbBLNn4lUmNaS/status/1429357017542451203/photo/1', 'https://twitter.com/TWMbBLNn4lUmNaS/status/1429357017542451203/photo/1', 'https://twitter.com/TWMbBLNn4lUmNaS/status/1429357017542451203/photo/1']",68,4,225,1,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084535
True,1429263044605988865,1199572553208975360,zxx,everyone,['1429263044605988865'],https://t.co/lpJ155uA5Y,Twitter for Android,2021-08-22T02:03:58.000Z,[],"['https://twitter.com/TWMbBLNn4lUmNaS/status/1429263044605988865/photo/1', 'https://twitter.com/TWMbBLNn4lUmNaS/status/1429263044605988865/photo/1', 'https://twitter.com/TWMbBLNn4lUmNaS/status/1429263044605988865/photo/1']",49,3,154,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084544
False,1427815022948806656,1199572553208975360,zxx,everyone,['1427815022948806656'],https://t.co/CfdP2yMeRF,Twitter for Android,2021-08-18T02:10:03.000Z,[],"['https://twitter.com/TWMbBLNn4lUmNaS/status/1427815022948806656/photo/1', 'https://twitter.com/TWMbBLNn4lUmNaS/status/1427815022948806656/photo/1']",59,4,222,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084552
True,1428777094209843207,1373935422758326272,en,everyone,['1428777094209843207'],"The word sexy didn’t exist until the birth of @Zello_Nudist_ 

The house was occupied so we decided to go to the backyard,check out the video on OF

⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️

https://t.co/RTvSelinfR https://t.co/087gOEljVj",Twitter for iPhone,2021-08-20T17:52:59.000Z,[],"['Https://onlyfans.com/favent6', 'https://twitter.com/Favent6/status/1428777094209843207/video/1']",661,27,2184,8,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084561
True,1430545634474430467,811970640735387648,en,everyone,['1430545634474430467'],By request...the color version. https://t.co/nAs8jtb9oH https://t.co/4BQew5KteG,Twitter Web App,2021-08-25T15:00:32.000Z,[],"['http://onlyfans.com/realguyla', 'https://twitter.com/Realguyla/status/1430545634474430467/photo/1']",408,27,2143,8,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084569
False,1429797635628539913,1396467776106102785,lo,everyone,['1429797635628539913'],ສະບາຍດີຊາວທະວິດເຕີ ໃຜແນ່ນໍເຄີຍເຮັດລາວ ຄອມເມັ້ນມາແນ່ https://t.co/bCWPE2OpKB,Twitter for Android,2021-08-23T13:28:15.000Z,[],['https://twitter.com/Love80741878/status/1429797635628539913/photo/1'],13,11,247,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084577
True,1427584777066975233,984414629961936897,vi,everyone,['1427584777066975233'],Mong sau này được như vậy! https://t.co/H23S04YO3b,Twitter for Android,2021-08-17T10:55:08.000Z,[],['https://twitter.com/86468HungDang/status/1427584777066975233/video/1'],235,0,613,2,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084586
False,1429529354334134272,1423257274613522432,th,everyone,['1429529354334134272'],@FRm9ozWpArrV4I6 พอตัวครับ,Twitter for Android,2021-08-22T19:42:12.000Z,[],[],0,0,4,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084594
False,1429484728034467840,1340943147371814914,und,everyone,['1429484728034467840'],😍 https://t.co/pkj7VRk6Rh,Twitter for Android,2021-08-22T16:44:52.000Z,[],['https://twitter.com/CurtindoCoroas/status/1429484728034467840/photo/1'],448,48,4947,16,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084602
False,1429297210668183554,3527947518,th,everyone,['1429297210668183554'],เย็นนี้สนใจ Outdoor กันครับ https://t.co/tOGBHI0xpH,Twitter for iPad,2021-08-22T04:19:44.000Z,[],['https://twitter.com/Nutkung_gay/status/1429297210668183554/photo/1'],116,25,1338,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084610
True,1429507276709244931,1253734625446330368,en,everyone,['1429507276709244931'],Goodmorning folks. Who tryna go for a not so relaxing Sunday ride...🤠🍆🍑 https://t.co/rV5ITYTX3l,Twitter for Android,2021-08-22T18:14:28.000Z,[],['https://twitter.com/EdwardMasyn/status/1429507276709244931/video/1'],2797,325,10189,76,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084618
True,1429670057026625536,1224264456965738497,my,everyone,['1429670057026625536'],ဘဘကြီးဖီးကောင်းတယ်နော် စုပ်ပေးတဲ့ဘကြီးကလဲ အရမ်းပဲနော် ရေတောင်မြိုချတယ် https://t.co/VQu5r6xjPI,Twitter for Android,2021-08-23T05:01:18.000Z,[],['https://twitter.com/chai_bn/status/1429670057026625536/video/1'],484,4,1057,5,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084626
True,1429185574104190984,601191913,zxx,everyone,['1429185574104190984'],https://t.co/8t0iQ7PewK,Twitter for Android,2021-08-21T20:56:08.000Z,[],['https://twitter.com/papas_modur/status/1429185574104190984/photo/1'],202,11,1472,1,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084635
True,1428934657228251139,1361233198806536201,th,everyone,['1428934657228251139'],"รุ่นน้องเงี่ยนก็เลยเย็ดในห้องน้ำซะเลย
👉🏽เข้ากลุ่มไลน์ มีคลิปเต็มลงคลิปตลอด
👉🏽สนับสนุนกลุ่ม แอดไลน์มาที่ Line.thelastman_ice

ฝากไอจีด้วยน้ะคับเพื่อนๆ IG.icebuilderlifting

#ชายแท้รับงาน 
#ชายแท้รับงานผู้หญิง
#ชายแท้รับงานสาวสอง 
#ชายแท้รับงานเกย์
#รับงานคอลเสียวเปิดกล้องชักว่าว https://t.co/nOp0PIUcWF",Twitter for iPhone,2021-08-21T04:19:05.000Z,"['ชายแท้รับงาน', 'ชายแท้รับงานผู้หญิง', 'ชายแท้รับงานสาวสอง', 'ชายแท้รับงานเกย์', 'รับงานคอลเสียวเปิดกล้องชักว่าว']",['https://twitter.com/thelastmanice/status/1428934657228251139/video/1'],8753,52,13519,33,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084644
True,1428441483049377798,1143028104073371648,zxx,everyone,['1428441483049377798'],https://t.co/zclAx9Ya7M,Twitter for Android,2021-08-19T19:39:23.000Z,[],['https://twitter.com/ElverGarrica13/status/1428441483049377798/photo/1'],4944,211,37875,77,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084652
True,1427777360657518594,969632431362985984,it,everyone,['1427777360657518594'],¡Cooosa! 😋👄🤤. https://t.co/teU1uNF5Bm,Twitter for Android,2021-08-17T23:40:24.000Z,[],['https://twitter.com/PacoMeloRico4/status/1427777360657518594/photo/1'],44,2,275,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084661
False,1427346245882941443,920666202841772032,en,everyone,['1427346245882941443'],My last bath of 49 ready for the boys on next decade 💋💋💋💋 https://t.co/w2VYV9D3MT,Twitter for iPhone,2021-08-16T19:07:18.000Z,[],['https://twitter.com/Carlosuk69/status/1427346245882941443/photo/1'],2,0,17,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084669
False,1427470841328013313,1103883736548954113,qme,everyone,['1427470841328013313'],#NewProfilePic https://t.co/TgcvrNTwrb,Twitter for iPhone,2021-08-17T03:22:24.000Z,['NewProfilePic'],['https://twitter.com/kimizenontwitt/status/1427470841328013313/photo/1'],61,10,826,1,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084678
True,1427085009052004352,1220210106307993600,th,everyone,['1427085009052004352'],ลุงเซียนพระเงี่ยน https://t.co/teP6lIB6wO,Twitter for Android,2021-08-16T01:49:14.000Z,[],"['https://twitter.com/zHCqZNDpE8cSv1w/status/1427085009052004352/photo/1', 'https://twitter.com/zHCqZNDpE8cSv1w/status/1427085009052004352/photo/1', 'https://twitter.com/zHCqZNDpE8cSv1w/status/1427085009052004352/photo/1']",77,2,263,2,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084687
False,1426460686486446081,1099353484808269825,th,everyone,['1426460686486446081'],ลงอ่างงงงงง......ปวดหลัง ปวดคอ ปวดๆ น้ำอุ่นไม่ได้ช่วยเท่าไหร่เล๊ย😥 https://t.co/yURq2mRzU1,Twitter for Android,2021-08-14T08:28:24.000Z,[],['https://twitter.com/lerr_rk/status/1426460686486446081/photo/1'],5,4,162,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084695
True,1426548954905419776,969632431362985984,es,everyone,['1426548954905419776'],Soy fans de las pollas peludas 🍆👄😋. https://t.co/b1xq4BqFx0,Twitter for Android,2021-08-14T14:19:09.000Z,[],['https://twitter.com/PacoMeloRico4/status/1426548954905419776/photo/1'],51,4,311,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084704
False,1426467673425137668,773142223617527809,th,everyone,['1426467673425137668'],"นอนพักผ่อนเยอะ..วิตามินซี
 ดี และ อี เเยะๆ 
relax and dietaries https://t.co/qb7w5gkIyX",Twitter for Android,2021-08-14T08:56:10.000Z,[],['https://twitter.com/thep_thewah/status/1426467673425137668/photo/1'],54,31,855,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084713
